	0	1
1011	« Вальпургиеву ночь » очень хочет поставить у себя в театре и Ефремов .	O O O O O O O O O O B-FAC O B-PER O
1012	Боже , как больно !	O O O O O
1013	Укрепился в ущелье Асадулла Асадулла по примеру Ахмад-шаха Масуда в Панджшере .	O O B-LOC I-LOC B-PER O O B-PER I-PER O B-LOC O
1014	На коллоквиуме царила доброжелательная обстановка , все доклады были интересными .	O O O O O O O O O O O
1015	Смешанное чувство осталось после прочтения его « рабочих тетрадей » .	O O O O O O O O O O O
1016	Часов около 15 духи на Дуррани ударили по афганскому ГАЗ-66 , кажется , обошлось без жертв .	O O O O O O O O O O O O O O O O O
1017	С голоду я не помру и детям не дам помереть .	O O O O O O B-CHAR O O O O
1018	И вот накануне очередного запланированного побега нас привели строем слушать выступление сотрудника детской газеты В . Н . Суслова .	O O O O O O O O O O O B-CHAR O O B-PER I-PER I-PER I-PER I-PER I-PER
1019	И я уже не сочувствую , не жалею , не живу чужой болью , а значит не способна понимать себя и других объективно .	O O O O O O O O O O O O O O O O O O O O O O O O
1020	Больше ничего не надо .	O O O O O
1021	Даже уж дошло до того , что ** кого-то ** ** называют ** *** сталинистом , *** а кого ?	O O O O O O O O O O O O O O B-CHAR O O O O O
1022	Яковлев ему говорит : « Хоть бы старшим назвали меня » .	B-PER O O O O O O B-CHAR O O O O
1023	Но цены официально не подняты .	O O O O O O
1024	А город дружно моет окна друг у друга на головах .	O B-LOC O O O O O O O O O
1025	Честно отвечает : « Есть немного » .	O O O O O O O O
1026	К сожалению , телефона в квартире не оказалось .	O O O O O O O O O
1027	Очень вежливый .	O O O
1028	Ну , ладно , шахтеры .	O O O O B-CHAR O
1029	У меня мелькнула мысль — подойти к ним и дать 25 рублей дедушке или мальчику и уйти .	O O O O O O O O O O O O B-CHAR O B-CHAR O O O
1030	3 дня я лежала дома почти трупом , нельзя было дотронуться до виска , над глазом .	O O O O O O O O O O O O O O O O O
1031	25 % — на конкурс .	O O O O O O
1032	Ветер югом оправдался : вместо струи 180 км / час было всего 90-100 в нюх .	O O O O O O O O O O O O O O O O
1033	У одного парня было расстройство желудка , его не вывели .	O O B-CHAR O O O O O O O O
1034	> А в вашей компании что я не видел ? > Один я сегодня выпью вина > И сам себя я поздравлю .	O O O O O O O O O O O O O O O O O O O O O O O
1035	Командовал хорошо , составил карточки огня .	O O O O O O O
1036	Особенно жаль О . Борисова , он был способен на более глубокое решение , но его порывистая , темпераментная , энергичная индивидуальность до обидного снивелирована Ефремовым . « Луна в форточке » Р . Феденева в постановке Б . Морозова — полный провал по всем статьям .	O O B-PER I-PER I-PER O O O O O O O O O O O O O O O O O O O O B-PER O O O O O O B-PER I-PER I-PER O O B-PER I-PER I-PER O O O O O O O
1037	Этим я закладываю в себе уверенность , что полоса откроется таки строго по оси .	O O O O O O O O O O O O O O O
1038	Все хохотали до слёз в смешных местах .	O O O O O O O O
1039	Кузнецов , бывший 2-й секретарь Таджикистана , преподаватель ИВАН .	B-PER O O O B-CHAR B-LOC O B-CHAR B-PER O
1040	Фиг с ней , с демократией на этом чересчур ответственном этапе .	O O O O O O O O O O O O
1041	В наших сообщениях по Афгану об этом ни слова .	O O O O B-LOC O O O O O
1042	По просьбе Ерофеева ( поскольку Рейн всегда в курсе самых разнообразных событий ) , послала ему на сцену записку по поводу выхода каверинского журнала « Весть » , в котором должны выйти « Петушки » .	O O B-PER O O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1043	Томас говорит мне : « У тебя слишком высокие идеалы » .	B-PER O O O O O O O O O O O
1044	Но с разделами о социализме получается плохо , т . к . здесь каждый Чаушеску — высшая наука , а умы по этой теме вроде Амбарцумова ходят в ревизионистах .	O O O O O O O O O O O O O O B-PER O O O O O O O O O O B-PER O O O O
1045	А через 18 лет все куда-то исчезло , каждый жил своей жизнью , словно ничего и не было , — чужой сын , чужая жена , непонимание .	O O O O O O O O O O O O O O O O O O O O O B-CHAR O O B-CHAR O O O
1046	Остальные фамилии тоже заемные : Саня Скворцов — Молодцов	O O O O O B-PER I-PER I-PER I-PER
1047	Когда выхожу * — * 2 чел . стоят против машины и 2 у угла почты .	O O O O O O O O O O O O O O O B-FAC O
1048	2 ) нет политики без разнообразия оформленных общественных кругов .	O O O O O O O O O O
1049	Завтра новая неделя .	O O O O
1050	Похоже , что это наружные стены квартала или военного лагеря .	O O O O O O B-LOC O B-FAC I-FAC O
1051	Я добавил два процента , скорость остановилась на 270 , и мы прошли торец .	O O O O O O O O O O O O O O O
1052	Долго думали , что написать в графах « ГРАЖДАНСТВО » и « ЦЕЛЬ ПОЕЗДКИ » .	O O O O O O O O O O O O O O O O
1053	Вот прислали как-то крестьяне на своего помещика жалобу , что семью поврозь продаёт , чтоб имущество себе забрать .	O O O B-CHAR O O B-CHAR O O O O O O O O O O O O
1054	Оружия накоплено столько , что его достаточно , чтобы трижды или даже четырежды уничтожить нашу планету .	O O O O O O O O O O O O O O O B-LOC O
1055	Лежал , вспомнил Музей , подумал о возможности вернуться , ведь там будет повышение зарплаты , думаю , не назло ли кондуктору вышел из трамвая , но вспомнив , что там мне не дадут спокойно работать , решил , что не вернусь туда .	O O O B-FAC O O O O O O O O O O O O O O O O O B-CHAR O O O O O O O O O O O O O O O O O O O O O O
1056	Я ответил , что сижу здесь не по своей воле , а у них работа такая - носить , сообщать , отвечать .	O O O O O O O O O O O O O O O O O O O O O O O
1057	Старостой был Сережа Степанов ?	O O B-PER I-PER O
1058	Многих , уже спустя годы искусно ставили в безвыходное положение , заставляли вступать .	O O O O O O O O O O O O O O
1059	Бьют машину , рубят и бустера , и ЭВМ , и все .	O O O O O O O O O O O O O
1060	Сообщение Сергея Смеляка .	O B-PER I-PER O
1061	> Твоим он будет королём .	O O O O B-CHAR O
1062	Стрельба в городе .	O O B-LOC O
1063	Все самое злое , что только могло прийти мне в голову по поводу него , все это я пережила .	O O O O O O O O O O O O O O O O O O O O
1064	О потерях афганцев не говорится : тут счёт миллионный .	O O B-CHAR O O O O O O O
1065	Мне Наташа рассказала о предстоящем вечере в день рождения Высоцкого .	O B-PER O O O O O O O B-PER O
1066	Меня все раздражает и делает нетерпимым .	O O O O O O O
1067	Для каждого Сальери всегда важно « казаться » , а не быть .	O O B-PER O O O O O O O O O O
1068	Есть убитые , но уже среди русских .	O O O O O O B-CHAR O
1069	Я стою у рынка .	O O O B-FAC O
1070	> О , маскарад !	O O O O O
1071	Вчера меня видели в музее , подумали и решили вызвать , чтобы я учил Ш . и Р . реставрации .	O O O O B-FAC O O O O O O O O O O O O O O O O
1072	Полдня до обеда такой упадок , такое тупое безразличие .	O O O O O O O O O O
1073	Но тогда получается , что мы приписываем Другому те качества , которыми обладаем мы сами : не Другое абсурдно и выступает как рок по отношению ко всему , что мы мыслим , чувствуем или делаем , а , напротив , мы сами выступаем как рок по отношению ко мнимому единству мира .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1074	Если Доронина утвердит мою кандидатуру , то я , наверное , буду сниматься у них .	O B-PER O O O O O O O O O O O O O O
1075	Но ведь так думаю я , а мой режиссер ?	O O O O O O O O B-CHAR O
1076	Пальба и взрывы доносились долго и громко .	O O O O O O O O
1077	Фролов и гл . редактор подписали свои бумаги .	B-PER O B-CHAR I-CHAR I-CHAR O O O O
1078	Но им не годятся ...	O O O O O
1079	Систематически смотрю раненых в реанимационном отделении .	O O B-MISC O B-FAC I-FAC O
1080	Я на перевале !	O O B-LOC O
1081	Сфера ума ( интеллекта ) — сфера оценки .	O O O O O O O O O
1082	Все время думаю о Викторе , который там .	O O O O B-PER O O O O
1083	О том , кто такой Вася Коваленко , будут разные суждения .	O O O O O B-PER I-PER O O O O O
1084	50 аргандабцев сдали оружие и ушли с постов .	O B-CHAR O O O O O O O
1085	Теперь уже к озеру Искандеркуль , откуда мы начали свой поход .	O O O B-LOC I-LOC O O O O O O O
1086	С начала 1960-х годов мы вместе увлекались фотографией , в поездках часто снимали на аппаратах , которые брали друг у друга .	O O O O O O O O O O O O O O O O O O O O O O
1087	18.10.1991	O
1088	> Как вам свои услуги ...	O O O O O O
1089	> Он меняться не хотел . Это я о Володе сочинила ... Поговорив с женой Володи Самородского Надей , я полюбила её .	O O O O O O O O O B-PER O O O O B-CHAR B-PER I-PER B-PER O O O O O
1090	А там уже самолеты стоят .	O O O O O O
1091	Уйдет и будет жить не хуже .	O O O O O O O
1092	И Володя Горелов нес в себе мальчишечий идеал и потому был очень точным актером ТЮЗа .	O B-PER I-PER O O O O O O O O O O B-CHAR B-ORG O
1093	И он плакал .	O O O O
1094	Дети — такие , какие бывают , никаких стремлений в Арктику , пьют , блудят , очень довольны .	B-CHAR O O O O O O O O O B-LOC O O O O O O O O
1095	Он разрывал страницу , что-то отбирая , остальное относил обратно в урну .	O O O O O O O O O O O O O
1096	Так же и электрокары для перевозки багажа .	O O O O O O O O
1097	❊❊❊ Сейчас вдруг вспомнил про Вальку Родионова .	O O O O O B-PER I-PER O
1098	Ладно , больше не буду писать — мысли путаются .	O O O O O O O O O O
1099	С боеприпасами туго .	O O O O
1100	Фурсенко .	B-PER O
1101	Когда он вспоминал время молодости , ум его был уже сосредоточен на другом .	O O O O O O O O O O O O O O
1102	В ответ я вызвался только « обобщить и систематизировать » .	O O O O O O O O O O O
1103	Один бандглаварь по имени Хаза Надир имеет несколько снарядов с отравляющими веществами , но пока их не применял .	O B-CHAR O O B-PER I-PER O O O O O O O O O O O O O
1104	Парламент одобрил программу Ельцина , Гайдара и его команды — они начали действовать .	B-ORG O O B-PER O B-PER O O O O O O O O
1105	( Пьян ) с утра ушёл не было до обеда дома в обед была у Зои дома варила суп ходила на телефон говорила с Витей Фая была на работе письмо от Тани мороз вечером ужинала у Насти спать в 10 печь топил он	O O O O O O O O O O O O O O O B-PER O O O O O O O O B-PER B-PER O O O O O B-PER O O O O B-PER O O O O O O
1106	Странное со мной случилось полтора месяца назад , а если календарных , то 35—40 дней : не могу сдвинуться с места .	O O O O O O O O O O O O O O O O O O O O O O
1107	А помню один из первых таких апрелей в Костроме .	O O O O O O O O B-LOC O
1108	Потом пошли на проческу .	O O O O O
1109	Между прочим , и проблемы решались .	O O O O O O O
1110	У Олега М . большая голова с умным лицом и лишний живот .	O B-PER I-PER I-PER O O O O O O O O O
1111	Нужно , нужно добиваться издания книги « во имя нашего нравственного здоровья » .	O O O O O O O O O O O O O O
1112	Всякое понимание слова отсылает к исторически приписываемому ему значению — в частности , и к какому-то новому значению , даваемому здесь и сейчас по контрасту со значениями , известными из прошлого .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1113	Социальное самоосуществление , признание писателя важны в общих случаях , для массы хороших писателей и поэтов : тут можно сказать о несостоявшихся , переродившихся судьбах .	O O O O B-CHAR O O O O O O O O B-CHAR O B-CHAR O O O O O O O O O O
1114	Впрочем , оказалось , что подробную информацию он давал Александрову , а не самому Горбачеву .	O O O O O O O O O B-PER O O O O B-PER O
1115	[ Запись на полях : Я Цой и Тюкавкин и Августынюк	O O O O O O B-PER O B-PER O B-PER
1116	В газете « Правда » нет фамилии Горбачёва .	O B-ORG I-ORG I-ORG I-ORG O O B-PER O
1117	Ниточка от стального троса отжигается паяльной лампой , затем кипятится вместе с хвоей и ставится петлей-удавкой на тропе ; конец привязывается к дереву .	O O O O O O O O O O O O O O O O O O O O O O O O
1118	Сделал много , крутился с утра , ну я ведь волчок , стою пока кручусь .	O O O O O O O O O O O O O O O O
1119	Позиции высказаны полярные , они , как и предвиделось , разожгли страсти на конференции .	O O O O O O O O O O O O O B-ORG O
1120	Хоннэкер ( бывш .	B-PER O O O
1121	На встречу я не пошел ( плохо чувствовал себя ) , но стихи « Из военной тетради » ( 11 стихотворений , 263 строки ) Света отнесла в СП .	O O O O O O O O O O O O O O O O O O O O O O O O O B-PER O O B-ORG O
1122	Теперь это будет большая программа под названием « Пятница » .	O O O O O O O O O O O
1123	Какой-то ненормальный Гусейн уже 2 недели сидит в клетке со змеями …	O O B-PER O O O O O O O O O
1124	Правда , от упоминания чрезвычайных мер удержался .	O O O O O O O O
1125	Вечером , вспоминая трудный день , пытался написать стихотворение : > Цвета щебенки и глины цепи безжизненных гор . > Стелется пыль от машины , ревет на форсаже мотор ...	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1126	Он , красный , отвернулся и пошел к себе .	O O O O O O O O O O
1127	Потом подготовили огороды к посадке , пропололи , полили хорошо .	O O O O O O O O O O O
1128	Надоело питаться консервами .	O O O O
1129	Неплохая фотография , где я сижу с Панюшкиным на палубе катера по дороге в заповедник .	O O O O O O O B-PER O O O O O O B-FAC O
1130	9 или 10 октября Чудовищные передачи о певцах « Битлз » .	O O O O O O O O O O O O
1131	Протягом майже всього дня простояв у черзі ( вул .	O O O O O O O O O O
1132	"Почти все революционные песни чужого , заграничного изобретения : « Варшавянка » — фр < анцузский > военный марш , « Смело , товарищи , в ногу » — немецкий , « Мы , молодая гвардия » , современный гимн комсомола ( который никто не поет ) — немецкая народная песня < com id = "" 14847673031457 "" / > ."	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1133	Однако если не будет существенных , законом закрепленных реформ социального устройства общества , все это останется сотрясением воздуха ...	O O O O O O O O O O O O O O O O O O O
1134	Говорили о падении дисциплины труда и поставок , несоблюдении законов , низком качестве продукции , экологии , о межнациональных и социальных проблемах .	O O O O O O O O O O O O O O O O O O O O O O O
1135	Только здесь можно перевести дух , комары знают свой меловой круг и не выходят из леса .	O O O O O O O O O O O O O O O O O
1136	Начал он проявляться сначала на отчетных собраниях .	O O O O O O O O
1137	Полк снова готовится к « боевым » .	B-ORG O O O O O O O
1138	Возможно , их в футболе даже будет побольше .	O O O O O O O O O
1139	Кругом есть на что посмотреть , и потому приходим к месту встречи на полчаса позже .	O O O O O O O O O O O O O O O O
1140	Зато как просторно , как прекрасно размещена экспозиция в тех залах , что сейчас доступны , как хорошо ею любоваться !	O O O O O O O O O O B-FAC O O O O O O O O O O
1141	Я готов был в эти минуты просто выброситься с балкона .	O O O O O O O O O O O
1142	Потом отдал её бабушке , а сам поехал к Русакову .	O O O B-CHAR O O O O O B-PER O
1143	Он говорит : « Я по твоим глазам вижу , вообще по лицу , что ты не больше чем , через года три женишься .	O O O O O O O O O O O O O O O O O O O O O O O O O
1144	Лев и Карл-Хайнц насадили новые растения , и я впитывала чудотворное зеленое излучение .	B-PER O B-PER O O O O O O O O O O O
1145	Домой мы ехали с Олей Седаковой , всю дорогу разговаривали , я была спокойна .	O O O O B-PER I-PER O O O O O O O O O
1146	В молодости — тревога , страх , отчаяние , состояние на грани сумасшествия , потом ЗАСТОЙ — лень , равнодушие , убежденность в невозможности перемен — все это превратило меня из человека « не без способностей » , может быть , даже незаурядного в чем-то , в глуповатого , ограниченного , малообразованного обывателя .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1147	Деньги , деньги , три , пять тысяч в месяц надо .	O O O O O O O O O O O O
1148	Парилка ужасная — из крана сочится пар .	O O O O O O O O
1149	Я пошла к его очень старому дому .	O O O O O O O O
1150	Особенно девчонки .	O B-CHAR O
1151	Снимают исполняющую романсы Любчикову .	O O O B-PER O
1152	Взял я их без билетов , уговорил дежурную .	O O O O O O O B-CHAR O
1153	К слову сказать , Еримбетову , живописцу , кажется , ничего не дали .	O O O O B-PER O B-CHAR O O O O O O O
1154	Мы наслаждаемся превосходной музыкой и , если позволяет время , посещаем музеи .	O O O O O O O O O O O B-FAC O
1155	Какое уж тут вскрытие ...	O O O O O
1156	Он , когда диктовал против правых и левых парировал : вот , мол , требуют стабильности .	O O O O O O O O O O O O O O O O O
1157	Он всегда гордился своей независимостью , а его лишили средств к существованию .	O O O O O O O O O O O O O
1158	Рост выпуска средств автоматизации в 2 раза реален .	O O O O O O O O O
1159	Нашу историю — тюркскую , арабскую , персидскую цивилизации , их слияние в одну мусульманскую не давали .	O O O O O O O O O O O O O O O O O O
1160	Теперь другие времена .	O O O O
1161	Принимает решение направить в Форос делегацию .	O O O O B-LOC O O
1162	Нетрудно догадаться — кто это такая , что это за лит < ературный > обработчик .	O O O O O O O O O O O O O O O O
1163	После обеда поднялась сильная буря .	O O O O O O
1164	Вся таблица Менделеева представлена на его территории .	O O B-PER O O O O O
1165	Наш Госстрой хотят распустить – постановление СМ Татарии .	O B-ORG O O O O B-ORG I-ORG O
1166	Вступительное слово сказал А . А . Громыко .	O O O B-PER I-PER I-PER I-PER I-PER O
1167	Призывают к гражданскому миру , а сами готовы разорвать на части каждого , кто посягнет на их власть .	O O O O O O O O O O O O O O O O O O O
1168	Не видно никакого заданного , внешнего или явного смысла : просто никому не ведомый , неограниченный человек хочет быть открытым и открывает себя .	O O O O O O O O O O O O O O O O O O O O O O O O
1169	Театр на Таганке , но из-за очередного с ней скандала у него — приступ .	B-FAC I-FAC I-FAC O O O O O O O O O O O O
1170	132,7 x 115,5 см 9 .	O O O O O O
1171	Андрей Тарковский изображает нетипичного человека в нетипических обстоятельствах .	B-PER I-PER O O O O O O O
1172	Это я .	O O O
1173	Конечно , он должен был понести наказание , но жестоко убивать парня в 24 года ...	O O O O O O O O O O O B-CHAR O O O O
1174	И немцы двух Германий дружно разбирают ненавистную берлинскую стену .	O B-CHAR O B-LOC O O O B-MISC I-MISC O
1175	Мы возвратились в город , к его проблемам .	O O O B-LOC O O O O O
1176	Отменили обмен валюты .	O O O O
1177	Джелалабад осажден и вот-вот падет , дорога на Кабул будет открыта .	B-LOC O O O O O O O B-LOC O O O
1178	Пока ночью сплю под тулупом .	O O O O O O
1179	Фильм « Андрей » о Миронове .	O O O O O B-PER O
1180	Дети в США . »	B-CHAR O B-LOC O O
1181	Личностно Ленин узнаваем .	O B-PER O O
1182	Я военный человек .	O B-CHAR O O
1183	Всю жизнь искал , где лучше , скакал с типа на тип , приносил предпосылки , убегал на другой тип и т . д .	O O O O O O O O O O O O O O O O O O O O O O O O O
1184	Посмотрим , что из всего этого получится .	O O O O O O O O
1185	Я — тоже ! »	O O O O O
1186	Генрих пришел в полный восторг и даже пытался принять меня в Лианозовскую школу , от чего я отказался .	B-PER O O O O O O O O O O B-FAC I-FAC O O O O O O
1187	Понедельник Будем пытаться до Нового года мозоль восстанавливать писательскую .	O O O O O O O O O O
1188	Нас встретил профессор Йорг Унгер , Анни Ян , нам подарили букетики роз .	O O O B-PER I-PER O B-PER I-PER O O O O O O
1189	Он всем этим не смягчает , а только путает .	O O O O O O O O O O
1190	Идет репетиция , и я пишу письмо матери .	O O O O O O O B-CHAR O
1191	Даже не пытался говорить о том , что осталось от петрашевцев , от тюрьмы у Достоевского .	O O O O O O O O O O B-MISC O O B-FAC O B-PER O
1192	Они хотели показать пример коммунистического труда .	O O O O O O O
1193	Рут Вайс , сильно пожилая немецкая еврейка , эмигрировавшая в конце 30-х годов , гражданка ЮАР , откуда тоже эмигрировала , так как выступала против апартеида .	B-PER I-PER O O O B-CHAR I-CHAR O O O O O O O B-CHAR B-LOC O O O O O O O O O O O
1194	С тех пор , как начались поиски личности и « другого » , идентичность утратилась , стали думать , что все люди разные , у каждого свое « сознание » , « законы мышления » , « желания » и т . д .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1195	Мне снилось , что мой папа Герман прислал мне деньги и еду .	O O O O O B-CHAR B-PER O O O O O O
1196	По ТВ = ** « Мост ** ** МОСКВА—США » , ** на вопросы отвечали Горбачев и Ельцин .	O O O O O O O O O O O O O O O B-PER O B-PER O
1197	Характерная история в семье Оболенских произошла позже .	O O O O O O O O
1198	« Дядю Ваню » Некрошюса — странное представление о вырождающейся , да уже выродившейся интеллигенции .	O O O O B-PER O O O O O O O O O O O
1199	Сбылось-таки моё предсказание 25 — летней давности , о котором сегодня вспоминали на службе .	O O O O O O O O O O O O O O O
1200	Ему уже 76 лет .	O O O O O
1201	Деев подскочил к машине , открыл дверцу : — В чём дело ?	B-PER O O O O O O O O O O O O
1202	Тогда вы не будете думать , долетит ли самолет и не опоздаете ли вы на поезд .	O O O O O O O O O O O O O O O O O
1203	Із Ліною ходив до Віри Григорівни Писанської , яка в своєму помешканні ( вул .	O O O O B-PER I-PER I-PER O O O O O O O O
1204	На совещании говорилось , в частности , о тактике моджахедов : засылать в города группы по пять- шесть человек для производства терактов .	O O O O O O O O O B-CHAR O O O O O O O O O O O O O
1205	Не знаю , кого он себе представлял в публике — выживших из ума старых дев или домработниц ...	O O O O O O O O O O O O O B-CHAR I-CHAR O B-CHAR O
1206	Помощница по штабной работе Нина колдовала над пулькой .	B-CHAR O O O B-PER O O O O
1207	Злоба ?	O O
1208	Сколько вспоминается о тех днях !	O O O O O O
1209	Что гранатомет , что пуля в механика-водителя — и нам каюк .	O O O O O O B-CHAR O O O O O
1210	Сколько я спал ?	O O O O
1211	Невидимые вещи невидимы	O O O
1212	К счастью , я смог своевременно предупредить об изменениях посольство , так что шофер нас встретил .	O O O O O O O O O B-FAC O O O B-CHAR O O O
1213	Прекрасный Янковский , гениальный Тарковский ( младший ) , наша подросшая скрипучая публика , которая так любит делать вид , зевая при этом в кулак .	O B-PER O O B-PER O O O O O O O O O O O O O O O O O O O O O
1214	Потом — его запись , в том числе удивительное — « День-ночь ... »	O O O O O O O O O O O O O O
1215	Оскорбили друга .	O B-CHAR O
1216	В Сочи со мной поставят инструктора , чтобы научил опускать ногу .	O B-LOC O O O B-CHAR O O O O O O
1217	Я предложил Шатрова .	O O B-PER O
1218	Так было в XVIII веке и на Западе , и у нас .	O O O O O O O B-LOC O O O O O
1219	« Нет , не трудно благодаря Рудольфу Штейнеру .	O O O O O O B-PER I-PER O
1220	Как мы жили !	O O O O
1221	Если техника в порядке — есть успех .	O O O O O O O O
1222	Вез сына из Баграма на каникулы в Анаву и , вот , довез .	O O O B-LOC O O O B-LOC O O O O O O
1223	Эпопеи Озерова идут в « России » и в « Октябре » — директора разделились , « Берег » Наумова — вот на всех фестивалях , а где же пойдет картина Германа , а куда поедет картина « Чучело » и будут ли признаки того , что происходит новая ориентация нашего руководства среди наших « думных бояр » ?	O B-PER O O O O O O O O O O O B-CHAR O O O O O B-PER O O O O O O O O O O O B-PER O O O O O O O O O O O O O O O O O O O B-CHAR O O O O B-CHAR O O
1224	Отводы — Наумову , Матвееву , Марьямову .	O O B-PER O B-PER O B-PER O
1225	Из этого буду исходить ...	O O O O O
1226	Я хочу продлить пребывание в санатории еще на 10 дней ( до 23-го ) .	O O O O O B-FAC O O O O O O O O O
1227	Вернул без пометок , а может быть Эдуарду Амвросиевичу что-то на этот счет сказал перед поездкой того в Брюссель .	O O O O O O O B-PER I-PER O O O O O O O O O B-LOC O
1228	Целая корзина запылившихся бутылок в подвале разрушенного дома .	O O O O O O O O O
1229	Конечно , немало и сомнений , и страхов с полными основаниями .	O O O O O O O O O O O O
1230	— Ваш коллектив не умеет торговать , вы не могли выполнить план продажи ...	O O O O O O O O O O O O O O
1231	Что такое восемь лет не снимать на « Мосфильме » ?	O O O O O O O B-ORG I-ORG I-ORG O
1232	Я все себя стесняюсь .	O O O O O
1233	"Писали « пулю » до 12 ночи < com id = "" 15550609651431 "" / > ."	O O O O O O O O O O O O O O O O O
1234	То есть мы взрослеем неравномерно , скачками .	O O O O O O O O
1235	Назад долетели без приключений , быстро , все посадки удались , сэкономили 4,5 т топлива , и в восемь утра я , дернув коньячку , уже был в постели и проспал до 14 часов .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1236	Он часто мне поддается .	O O O O O
1237	Утром сегодня Юрка позвонил и сообщил , что в среду в 8.30 раздался звонок : ему велено было в 9.30 быть у Горбачева .	O O B-PER O O O O O O O O O O O O O O O O O O O B-PER O
1238	Или это самодеятельность литовских коммунистов и военных ?	O O O O B-CHAR O B-CHAR O
1239	Альвина выглядит прекрасно , несла в кульке яйца , домой в синем легком индийском платье , похудела , спросила меня , не из Ташкента ли я , я сказал , что собираюсь туда и вот , мол , иду за билетом .	B-PER O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O
1240	Примерный Андрюша эпатировал нас в редакции пионерской газеты эротической прозой собственного изготовления , от которой остался в памяти герой с красным галстуком ;	O B-PER O O O O O O O O O O O O O O O O O O O O O
1241	Ведь мне трудно дышать ... »	O O O O O O
1242	Не обстреляли .	O O O
1243	Зачем мне Володя Бунин , мне так хорошо с Митей — живым , чистым , добрым .	O O B-PER I-PER O O O O O B-PER O O O O O O O
1244	Учитель рисования в местной школе Рагчабазар , 47 лет , когда-то был художником-декоратором в Драмтеатре в Улан-Баторе .	B-CHAR O O O B-FAC I-FAC O O O O O O B-CHAR O B-FAC O B-LOC O
1245	Полный список кандидатов , выдвинутый в ее научных Институтах насчитывал 120 фамилий .	O O O O O O O O B-FAC O O O O
1246	Решили направить в Будапешт Крючкова .	O O O B-LOC B-PER O
1247	В Москве состоялась продолжительная беседа Горбачева с Ельциным .	O B-LOC O O O B-PER O B-PER O
1248	Рококоистые статуи кокетливых ангелов и епископов .	O O O B-MISC O B-CHAR O
1249	Правда , я и сам хорош , но не до такой же степени …	O O O O O O O O O O O O O O
1250	Такой программы не было .	O O O O O
1251	Только дело в том , что мимезис бывает разный : имеется бесконечное разнообразие возможностей имитировать что-либо — отсюда и бесконечное разнообразие людских особей , хотя все они равно имитации .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1252	Едва заметный .	O O O
1253	Фонд — в запасе .	O O O O O
1254	# # # Додекафония Математически организованная какофония , сплошное тотальное неблагозвучие , долженствующее изобразить извечный хаос мира , в котором избранным людям надлежит навести порядок .	O O O O O O O O O O O O O O O O O O O O O O O O O O
1255	Суббота , утро .	O O O O
1256	Шлагбаум , но рядом стоит танк .	O O O O O O O
1257	Мы думали , что шведы , пока он здесь , не будут печатать эту информацию , но это не в правилах западной прессы .	O O O O B-CHAR O O O O O O O O O O O O O O O O O O O
1258	Он же ни разу не сказал , что позволит кому-нибудь выйти из Союза .	O O O O O O O O O O O O B-ORG O
1259	25 % алкоголиков — женщины .	O O B-CHAR O B-CHAR O
1260	Вот брехуны .	O B-CHAR O
1261	Отец объясняет : « А это служащие идут с работы .	B-CHAR O O O O O B-CHAR O O O O
1262	У меня нет сил бороться с этим .	O O O O O O O O
1263	Мокрые ребята .	O B-CHAR O
1264	Они сводят музыку к сумме математических приемов , комбинаций ; они отлично знают музыкальную литературу , начитанные , образованные люди .	O O O O O O O O O O O O O O O O O O O O O
1265	Как лучше использовать подразделение ?	O O O O O
1266	Мы прошли мимо Корякской и Авачи , выполнили над бухтой разворот , налюбовались скалами , океаном , кораблями , ослепительно-синим небом , розовыми снегами , сопками и хребтами .	O O O B-LOC O B-LOC O O O B-LOC O O O B-LOC O B-LOC O O O O O O O O O B-LOC O B-LOC O
1267	Везде его люди .	O O O O
1268	Не говорю уже о том , чтобы создавать что-то новое – даже просто общаться с людьми .	O O O O O O O O O O O O O O O O O
1269	Вокруг никого не было .	O O O O O
1270	Вижу , что силы на исходе .	O O O O O O O
1271	Из припрятанных на черный день продуктов муки и крупы хватило бы на пропитание всей России в течение 3,5 месяцев , сахара — в течение 58 дней .	O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O
1272	Витя верит , что без амнистии хозяйственников настоящая перестройка не пойдёт , а будут лишь « петровские реформы » Кстати , в программе Яблока « 500 дней » , подаренной Алей , я не нашла фразы об амнистии хозяйственников ( может она была только в первоначальном варианте , который читал Витя ) .	B-PER O O O O O O O O O O O O O O O O O O O O O O B-ORG O O O O O O B-PER O O O O O O O O O O O O O O O O O O O B-PER O O
