,tokens,BIO_str,BIO_nums,BIO_list
1445,"Вечером , вспоминая трудный день , пытался написать стихотворение : > Цвета щебенки и глины цепи безжизненных гор . > Стелется пыль от машины , ревет на форсаже мотор ...",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1446,"Он , красный , отвернулся и пошел к себе .",O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1448,Надоело питаться консервами .,O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
1449,"Неплохая фотография , где я сижу с Панюшкиным на палубе катера по дороге в заповедник .",O O O O O O O B-PER O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1450,9 или 10 октября Чудовищные передачи о певцах « Битлз » .,O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1451,Протягом майже всього дня простояв у черзі ( вул .,O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1453,"Однако если не будет существенных , законом закрепленных реформ социального устройства общества , все это останется сотрясением воздуха ...",O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1454,"Говорили о падении дисциплины труда и поставок , несоблюдении законов , низком качестве продукции , экологии , о межнациональных и социальных проблемах .",O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1455,"Только здесь можно перевести дух , комары знают свой меловой круг и не выходят из леса .",O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1458,"Возможно , их в футболе даже будет побольше .",O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1459,"Кругом есть на что посмотреть , и потому приходим к месту встречи на полчаса позже .",O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1460,"Зато как просторно , как прекрасно размещена экспозиция в тех залах , что сейчас доступны , как хорошо ею любоваться !",O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1463,"Он говорит : « Я по твоим глазам вижу , вообще по лицу , что ты не больше чем , через года три женишься .",O O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1464,"Лев и Карл-Хайнц насадили новые растения , и я впитывала чудотворное зеленое излучение .",B-PER O B-PER O O O O O O O O O O O,"[6, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['B-PER', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1465,"Домой мы ехали с Олей Седаковой , всю дорогу разговаривали , я была спокойна .",O O O O B-PER I-PER O O O O O O O O O,"[10, 10, 10, 10, 6, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1466,"В молодости — тревога , страх , отчаяние , состояние на грани сумасшествия , потом ЗАСТОЙ — лень , равнодушие , убежденность в невозможности перемен — все это превратило меня из человека « не без способностей » , может быть , даже незаурядного в чем-то , в глуповатого , ограниченного , малообразованного обывателя .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1468,Парилка ужасная — из крана сочится пар .,O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1470,Особенно девчонки .,O B-CHAR O,"[10, 8, 10]","['O', 'B-CHAR', 'O']"
1471,Снимают исполняющую романсы Любчикову .,O O O B-PER O,"[10, 10, 10, 6, 10]","['O', 'O', 'O', 'B-PER', 'O']"
1472,"Взял я их без билетов , уговорил дежурную .",O O O O O O O B-CHAR O,"[10, 10, 10, 10, 10, 10, 10, 8, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O']"
1473,"К слову сказать , Еримбетову , живописцу , кажется , ничего не дали .",O O O O B-PER O B-CHAR O O O O O O O,"[10, 10, 10, 10, 6, 10, 8, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'B-PER', 'O', 'B-CHAR', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1474,"Мы наслаждаемся превосходной музыкой и , если позволяет время , посещаем музеи .",O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1476,"Ближе к председательствующему размещались члены Политбюро , затем кандидаты и далее — секретари ЦК .",O O O O O B-ORG O O O O O O O B-ORG O,"[10, 10, 10, 10, 10, 2, 10, 10, 10, 10, 10, 10, 10, 2, 10]","['O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O']"
1477,"Белое церковное здание с конными зелеными ( земными ) и белыми ( неземными ) статуями на фасаде , обращённое к многоярусной лестнице — зрелище великолепное .",O O O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1478,"Он , когда диктовал против правых и левых парировал : вот , мол , требуют стабильности .",O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1479,"Он всегда гордился своей независимостью , а его лишили средств к существованию .",O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1480,"ЭЛИН должен стоять на площадях сначала городов-побратимов , а потом — всех городов мира или , хотя бы , Союза — для живого контакта живых людей , на всех стадионах мира , чтобы зритель видел все поле и , одновременно , на ЭЛИНе крупным планом лицо вратаря в критический момент .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-CHAR O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O', 'O', 'O', 'O']"
1482,"Нашу историю — тюркскую , арабскую , персидскую цивилизации , их слияние в одну мусульманскую не давали .",O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1483,Теперь другие времена .,O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
1484,Принимает решение направить в Форос делегацию .,O O O O B-LOC O O,"[10, 10, 10, 10, 0, 10, 10]","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O']"
1485,"Нетрудно догадаться — кто это такая , что это за лит < ературный > обработчик .",O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1486,После обеда поднялась сильная буря .,O O O O O O,"[10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O']"
1487,"А . И . Лукьянова — вместо П . Н . Демичева в Верховный Совет , избрать его кандидатом в члены Политбюро .",O O O O O O O O O O O O O B-ORG I-ORG O O O O O O B-ORG O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 2, 3, 10, 10, 10, 10, 10, 10, 2, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O']"
1488,Вся таблица Менделеева представлена на его территории .,O O B-PER O O O O O,"[10, 10, 6, 10, 10, 10, 10, 10]","['O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O']"
1489,Наш Госстрой хотят распустить – постановление СМ Татарии .,O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1491,"Призывают к гражданскому миру , а сами готовы разорвать на части каждого , кто посягнет на их власть .",O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1492,Гуляли .,O O,"[10, 10]","['O', 'O']"
1493,"Не видно никакого заданного , внешнего или явного смысла : просто никому не ведомый , неограниченный человек хочет быть открытым и открывает себя .",O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1494,"Театр на Таганке , но из-за очередного с ней скандала у него — приступ .",O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1495,"132,7 x 115,5 см 9 .",O O O O O O,"[10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O']"
1496,Андрей Тарковский изображает нетипичного человека в нетипических обстоятельствах .,B-PER I-PER O O O O O O O,"[6, 7, 10, 10, 10, 10, 10, 10, 10]","['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1497,"Смотрю — вывешено объявление , что собираются участники « Преступления » .",O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1498,Это я .,O O O,"[10, 10, 10]","['O', 'O', 'O']"
1499,"Конечно , он должен был понести наказание , но жестоко убивать парня в 24 года ...",O O O O O O O O O O O B-CHAR O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O', 'O', 'O', 'O']"
1501,"Мы возвратились в город , к его проблемам .",O O O B-LOC O O O O O,"[10, 10, 10, 0, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']"
1502,Отменили обмен валюты .,O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
1503,"Джелалабад осажден и вот-вот падет , дорога на Кабул будет открыта .",O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1504,Пока ночью сплю под тулупом .,O O O O O O,"[10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O']"
1505,Фильм « Андрей » о Миронове .,O O O O O B-PER O,"[10, 10, 10, 10, 10, 6, 10]","['O', 'O', 'O', 'O', 'O', 'B-PER', 'O']"
1506,Дети в США . »,B-CHAR O B-LOC O O,"[8, 10, 0, 10, 10]","['B-CHAR', 'O', 'B-LOC', 'O', 'O']"
1507,Личностно Ленин узнаваем .,O B-PER O O,"[10, 6, 10, 10]","['O', 'B-PER', 'O', 'O']"
1508,Я военный человек .,O B-CHAR O O,"[10, 8, 10, 10]","['O', 'B-CHAR', 'O', 'O']"
1510,"Посмотрим , что из всего этого получится .",O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1511,Я — тоже ! »,O O O O O,"[10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O']"
1512,"Генрих пришел в полный восторг и даже пытался принять меня в Лианозовскую школу , от чего я отказался .",B-PER O O O O O O O O O O O O O O O O O O,"[6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1513,Понедельник Будем пытаться до Нового года мозоль восстанавливать писательскую .,O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1514,"Нас встретил профессор Йорг Унгер , Анни Ян , нам подарили букетики роз .",O O O B-PER I-PER O B-PER I-PER O O O O O O,"[10, 10, 10, 6, 7, 10, 6, 7, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O']"
1515,"Он всем этим не смягчает , а только путает .",O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1516,Вопрос для советского человека в Афганистане — это вопрос о справедливости этой войны .,O O O O O B-LOC O O O O O O O O,"[10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1517,"Идет репетиция , и я пишу письмо матери .",O O O O O O O B-CHAR O,"[10, 10, 10, 10, 10, 10, 10, 8, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O']"
1518,"Даже не пытался говорить о том , что осталось от петрашевцев , от тюрьмы у Достоевского .",O O O O O O O O O O O O O B-FAC O B-PER O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 4, 10, 6, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAC', 'O', 'B-PER', 'O']"
1519,Они хотели показать пример коммунистического труда .,O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
1520,"Рут Вайс , сильно пожилая немецкая еврейка , эмигрировавшая в конце 30-х годов , гражданка ЮАР , откуда тоже эмигрировала , так как выступала против апартеида .",B-PER I-PER O O O B-CHAR I-CHAR O O O O O O O B-CHAR B-LOC O O O O O O O O O O O,"[6, 7, 10, 10, 10, 8, 9, 10, 10, 10, 10, 10, 10, 10, 8, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['B-PER', 'I-PER', 'O', 'O', 'O', 'B-CHAR', 'I-CHAR', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1522,"Мне снилось , что мой папа Герман прислал мне деньги и еду .",O O O O O B-CHAR B-PER O O O O O O,"[10, 10, 10, 10, 10, 8, 6, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'B-CHAR', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O']"
1523,"По ТВ = ** « Мост ** ** МОСКВА—США » , ** на вопросы отвечали Горбачев и Ельцин .",O O O O O O O O O O O O O O O B-PER O B-PER O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 6, 10, 6, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'B-PER', 'O']"
1525,"« Дядю Ваню » Некрошюса — странное представление о вырождающейся , да уже выродившейся интеллигенции .",O O O O B-PER O O O O O O O O O O O,"[10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1526,"Сбылось-таки моё предсказание 25 — летней давности , о котором сегодня вспоминали на службе .",O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1527,Ему уже 76 лет .,O O O O O,"[10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O']"
1528,"Деев подскочил к машине , открыл дверцу : — В чём дело ?",B-PER O O O O O O O O O O O O,"[6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1529,"Тогда вы не будете думать , долетит ли самолет и не опоздаете ли вы на поезд .",O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1530,"Із Ліною ходив до Віри Григорівни Писанської , яка в своєму помешканні ( вул .",O O O O B-PER I-PER I-PER O O O O O O O O,"[10, 10, 10, 10, 6, 7, 7, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1532,"Не знаю , кого он себе представлял в публике — выживших из ума старых дев или домработниц ...",O O O O O O O O O O O O O B-CHAR I-CHAR O B-CHAR O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 9, 10, 8, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'I-CHAR', 'O', 'B-CHAR', 'O']"
1534,Злоба ?,O O,"[10, 10]","['O', 'O']"
1535,Сколько вспоминается о тех днях !,O O O O O O,"[10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O']"
1536,"Что гранатомет , что пуля в механика-водителя — и нам каюк .",O O O O O O B-CHAR O O O O O,"[10, 10, 10, 10, 10, 10, 8, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O', 'O', 'O', 'O', 'O']"
1538,Невидимые вещи невидимы,O O O,"[10, 10, 10]","['O', 'O', 'O']"
1539,"К счастью , я смог своевременно предупредить об изменениях посольство , так что шофер нас встретил .",O O O O O O O O O O O O O B-CHAR O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O', 'O', 'O']"
1540,"Прекрасный Янковский , гениальный Тарковский ( младший ) , наша подросшая скрипучая публика , которая так любит делать вид , зевая при этом в кулак .",O B-PER O O B-PER O O O O O O O O O O O O O O O O O O O O O,"[10, 6, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'B-PER', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1541,"Потом — его запись , в том числе удивительное — « День-ночь ... »",O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1542,Оскорбили друга .,O B-CHAR O,"[10, 8, 10]","['O', 'B-CHAR', 'O']"
1544,Я предложил Шатрова .,O O B-PER O,"[10, 10, 6, 10]","['O', 'O', 'B-PER', 'O']"
1545,"Так было в XVIII веке и на Западе , и у нас .",O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1546,"« Нет , не трудно благодаря Рудольфу Штейнеру .",O O O O O O B-PER I-PER O,"[10, 10, 10, 10, 10, 10, 6, 7, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O']"
1547,Как мы жили !,O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
1550,"Эпопеи Озерова идут в « России » и в « Октябре » — директора разделились , « Берег » Наумова — вот на всех фестивалях , а где же пойдет картина Германа , а куда поедет картина « Чучело » и будут ли признаки того , что происходит новая ориентация нашего руководства среди наших « думных бояр » ?",O B-PER O O O O O O O O O O O B-CHAR O O O O O B-PER O O O O O O O O O O O B-PER O O O O O O O O O O O O O O O O O O O B-CHAR O O O O B-CHAR O O,"[10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 10, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 10, 10, 10, 10, 8, 10, 10]","['O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O', 'O', 'O', 'O', 'B-CHAR', 'O', 'O']"
1551,"Отводы — Наумову , Матвееву , Марьямову .",O O B-PER O B-PER O B-PER O,"[10, 10, 6, 10, 6, 10, 6, 10]","['O', 'O', 'B-PER', 'O', 'B-PER', 'O', 'B-PER', 'O']"
1552,Из этого буду исходить ...,O O O O O,"[10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O']"
1553,Я хочу продлить пребывание в санатории еще на 10 дней ( до 23-го ) .,O O O O O B-FAC O O O O O O O O O,"[10, 10, 10, 10, 10, 4, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'B-FAC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1554,"Вернул без пометок , а может быть Эдуарду Амвросиевичу что-то на этот счет сказал перед поездкой того в Брюссель .",O O O O O O O B-PER I-PER O O O O O O O O O B-LOC O,"[10, 10, 10, 10, 10, 10, 10, 6, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
1555,Целая корзина запылившихся бутылок в подвале разрушенного дома .,O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
